"Te";"over";"cOver";"m";"M"
8;0.47058823529411764;0.09411764705882353;13;14
4;0.08695652173913043;0.03278688524590164;5;47
30;0.47619047619047616;0.2727272727272727;34;61
42;0.6086956521739131;0.40384615384615385;46;67
49;0.3402777777777778;0.28994082840236685;56;139
33;0.5789473684210527;0.34375;42;50
7;0.11475409836065574;0.05263157894736842;9;61
5;0.078125;0.037037037037037035;10;61
6;0.2222222222222222;0.06060606060606061;9;26
33;0.532258064516129;0.3235294117647059;41;56
6;0.07142857142857142;0.0379746835443038;7;85
27;0.43548387096774194;0.2727272727272727;44;47
6;0.75;0.07407407407407407;8;8
3;0.10714285714285714;0.02857142857142857;4;29
6;0.5454545454545454;0.07228915662650602;9;10
6;0.06382978723404255;0.03592814371257485;8;94
9;0.06521739130434782;0.0430622009569378;10;139
17;0.288135593220339;0.1440677966101695;22;56
22;0.6875;0.2558139534883721;27;29
2;0.11764705882352941;0.021739130434782608;6;15
0;0.0;0;1;4
17;0.27419354838709675;0.13709677419354838;19;62
14;0.23333333333333334;0.112;16;60
39;0.5735294117647058;0.3644859813084112;42;67
4;0.0975609756097561;0.034482758620689655;6;41
25;0.5102040816326531;0.24752475247524752;29;47
78;0.4406779661016949;0.5571428571428572;118;139
57;0.4014084507042254;0.35403726708074534;62;139
18;0.3829787234042553;0.16822429906542055;21;46
6;0.06451612903225806;0.03592814371257485;7;94
35;0.35714285714285715;0.28688524590163933;57;78
12;0.2033898305084746;0.10526315789473684;26;47
23;0.42592592592592593;0.2169811320754717;29;50
41;0.41;0.2949640287769784;42;101
3;0.03225806451612903;0.01764705882352941;4;94
31;0.3924050632911392;0.24603174603174602;34;78
2;0.022727272727272728;0.012195121951219513;5;87
18;0.34615384615384615;0.15789473684210525;19;53
19;0.24050632911392406;0.13768115942028986;22;78
30;0.45454545454545453;0.30303030303030304;48;50
12;0.1935483870967742;0.09448818897637795;16;60
19;0.4523809523809524;0.18811881188118812;22;41
3;0.3333333333333333;0.03571428571428571;6;8
35;0.25925925925925924;0.26717557251908397;85;87
20;0.5405405405405406;0.21052631578947367;23;36
41;0.5125;0.3904761904761905;56;67
14;0.23333333333333334;0.12173913043478261;26;50
17;0.3333333333333333;0.15454545454545454;22;48
5;0.05747126436781609;0.031055900621118012;7;87
5;0.0847457627118644;0.03759398496240601;7;59
4;0.09302325581395349;0.034482758620689655;8;41
3;0.031578947368421054;0.01764705882352941;6;94
12;0.23076923076923078;0.10434782608695652;18;48
39;0.65;0.40625;45;56
17;0.32075471698113206;0.14782608695652175;19;53
7;0.05982905982905983;0.03684210526315789;8;118
1;0.017241379310344827;0.0072992700729927005;2;59
10;0.22727272727272727;0.09009009009009009;14;42
50;0.3424657534246575;0.2976190476190476;59;139
0;0.0;0;1;118
10;0.38461538461538464;0.10869565217391304;15;23
34;0.35789473684210527;0.2764227642276423;53;78
16;0.25396825396825395;0.128;19;62
5;0.15151515151515152;0.05154639175257732;17;23
20;0.20202020202020202;0.13071895424836602;27;94
16;0.11347517730496454;0.07920792079207921;20;139
49;0.532608695652174;0.4188034188034188;56;87
2;0.2222222222222222;0.022988505747126436;3;10
7;0.7777777777777778;0.08536585365853659;8;10
36;0.4444444444444444;0.2975206611570248;41;78
35;0.5072463768115942;0.35;50;56
33;0.2796610169491525;0.2357142857142857;59;94
31;0.22302158273381295;0.1657754010695187;33;139
33;0.4520547945205479;0.3142857142857143;49;59
6;0.05128205128205128;0.031413612565445025;7;118
25;0.36764705882352944;0.24271844660194175;46;49
7;0.13725490196078433;0.05737704918032787;10;50
27;0.4153846153846154;0.26732673267326734;45;49
51;0.4112903225806452;0.3493150684931507;59;118
2;0.25;0.023529411764705882;4;8
24;0.32;0.1951219512195122;33;68
11;0.4583333333333333;0.12087912087912088;14;23
27;0.43548387096774194;0.25;35;56
39;0.5492957746478874;0.38235294117647056;50;62
26;0.33766233766233766;0.23008849557522124;45;60
18;0.3829787234042553;0.16981132075471697;22;45
13;0.14285714285714285;0.08496732026143791;19;87
13;0.2708333333333333;0.11711711711711711;18;45
1;0.05;0.010526315789473684;6;17
57;0.5089285714285714;0.4634146341463415;70;101
8;0.23529411764705882;0.08163265306122448;17;27
61;0.4621212121212121;0.5126050420168067;94;101
25;0.5319148936170213;0.25252525252525254;29;45
18;0.1267605633802817;0.09;23;139
21;0.1794871794871795;0.11931818181818182;22;118
32;0.5;0.3106796116504854;42;56
15;0.28846153846153844;0.13157894736842105;19;50
26;0.5652173913043478;0.2653061224489796;29;45
34;0.4927536231884058;0.32075471698113206;44;61
7;0.1;0.04929577464788732;9;70
3;0.04477611940298507;0.020833333333333332;4;68
50;0.3875968992248062;0.4065040650406504;87;94
43;0.28104575163398693;0.24571428571428572;59;139
6;0.2608695652173913;0.06666666666666667;14;17
2;1.0;0.025;3;3
28;0.35443037974683544;0.23529411764705882;41;68
32;0.3404255319148936;0.22695035460992907;34;94
27;0.5869565217391305;0.2903225806451613;34;41
22;0.2619047619047619;0.18803418803418803;48;60
53;0.452991452991453;0.44166666666666665;78;94
2;0.022988505747126436;0.012195121951219513;4;87
2;0.5;0.024691358024691357;4;4
28;0.56;0.2857142857142857;33;47
10;0.1;0.058823529411764705;11;101
29;0.5;0.29896907216494845;42;47
0;0.0;0;1;118
37;0.46835443037974683;0.3557692307692308;56;62
24;0.43636363636363634;0.2222222222222222;28;53
29;0.3020833333333333;0.21481481481481482;42;85
29;0.3258426966292135;0.2116788321167883;33;87
16;0.13445378151260504;0.08839779005524862;19;118
46;0.44660194174757284;0.34328358208955223;50;101
19;0.2159090909090909;0.15966386554621848;50;59
38;0.4578313253012048;0.31932773109243695;45;78
6;0.8571428571428571;0.07407407407407407;7;8
4;0.03389830508474576;0.02072538860103627;6;118
47;0.46534653465346537;0.373015873015873;56;94
38;0.38;0.2814814814814815;46;94
20;0.4;0.1834862385321101;22;50
46;0.575;0.46;61;67
5;0.07936507936507936;0.03676470588235294;8;62
0;0.0;0;3;4
24;0.6486486486486487;0.2696629213483146;29;34
3;0.42857142857142855;0.03571428571428571;4;8
4;0.3076923076923077;0.045454545454545456;6;13
13;0.22413793103448276;0.104;14;59
11;0.10576923076923077;0.06790123456790123;23;94
18;0.5;0.18556701030927836;20;36
14;0.6086956521739131;0.1590909090909091;16;23
27;0.3103448275862069;0.19424460431654678;29;87
28;0.5714285714285714;0.27722772277227725;29;50
29;0.35802469135802467;0.26605504587155965;53;59
47;0.34306569343065696;0.31333333333333335;68;118
4;0.028985507246376812;0.018691588785046728;5;139
26;0.3939393939393939;0.23214285714285715;35;59
16;0.1568627450980392;0.0975609756097561;19;101
18;0.27692307692307694;0.15384615384615385;29;56
9;0.06521739130434782;0.0430622009569378;10;139
20;0.20408163265306123;0.13071895424836602;26;94
1;0.037037037037037035;0.009615384615384616;4;26
7;0.11290322580645161;0.05263157894736842;10;61
23;0.38333333333333336;0.20535714285714285;29;56
17;0.18478260869565216;0.12878787878787878;41;70
4;0.028985507246376812;0.018691588785046728;5;139
2;0.15384615384615385;0.02197802197802198;3;14
0;0.0;0;1;94
2;0.058823529411764705;0.018018018018018018;4;34
14;0.2641509433962264;0.12389380530973451;21;48
2;0.08;0.019417475728155338;3;26
5;0.3333333333333333;0.056179775280898875;7;15
11;0.1864406779661017;0.08661417322834646;13;59
1;0.008547008547008548;0.00510204081632653;2;118
2;0.3333333333333333;0.024390243902439025;5;5
27;0.2903225806451613;0.18493150684931506;28;94
25;0.5102040816326531;0.2631578947368421;35;41
1;0.01;0.00558659217877095;2;101
67;0.5;0.5153846153846153;85;118
28;0.3373493975903614;0.23529411764705882;45;68
10;0.10752688172043011;0.0641025641025641;18;87
3;0.03488372093023256;0.018404907975460124;4;87
4;0.04;0.022727272727272728;5;101
2;1.0;0.025;3;3
13;0.09352517985611511;0.06341463414634146;15;139
21;0.31343283582089554;0.19626168224299065;41;49
27;0.35064935064935066;0.2076923076923077;28;78
1;0.007142857142857143;0.004608294930875576;4;139
51;0.6538461538461539;0.5204081632653061;61;70
19;0.37254901960784315;0.17272727272727273;22;50
30;0.3191489361702128;0.22388059701492538;41;85
32;0.6153846153846154;0.34782608695652173;41;45
35;0.5303030303030303;0.3333333333333333;42;61
15;0.22727272727272727;0.12;22;61
54;0.5142857142857142;0.453781512605042;67;94
10;0.136986301369863;0.072992700729927;17;68
16;0.8;0.1927710843373494;18;20
34;0.5483870967741935;0.35789473684210527;48;50
27;0.4090909090909091;0.23684210526315788;33;62
35;0.3017241379310345;0.2536231884057971;59;94
20;0.47619047619047616;0.19801980198019803;22;42
18;0.32142857142857145;0.16216216216216217;26;50
29;0.27102803738317754;0.21481481481481482;53;85
32;0.47761194029850745;0.2807017543859649;34;67
4;0.21052631578947367;0.043478260869565216;8;17
27;0.4426229508196721;0.25;34;56
9;0.06428571428571428;0.0430622009569378;12;139
40;0.5;0.39603960396039606;60;62
41;0.6029411764705882;0.41414141414141414;50;61
3;0.038461538461538464;0.01948051948051948;5;78
24;0.26666666666666666;0.1951219512195122;48;68
8;0.06779661016949153;0.042328042328042326;10;118
51;0.4594594594594595;0.4180327868852459;70;94
31;0.3263157894736842;0.21830985915492956;34;94
10;0.2127659574468085;0.08849557522123894;15;44
6;0.10526315789473684;0.046511627906976744;9;56
3;0.13636363636363635;0.03333333333333333;13;14
7;0.7777777777777778;0.08536585365853659;8;10
5;0.036231884057971016;0.023474178403755867;6;139
40;0.3252032520325203;0.31746031746031744;78;87
33;0.4647887323943662;0.32038834951456313;49;57
35;0.43209876543209874;0.30701754385964913;48;70
35;0.5833333333333334;0.3723404255319149;47;50
45;0.28125;0.26011560693641617;68;139
54;0.3776223776223776;0.32926829268292684;60;139
18;0.3050847457627119;0.15;20;59
25;0.5;0.2403846153846154;27;50
40;0.41237113402061853;0.3007518796992481;45;94
9;1.0;0.1125;10;10
34;0.53125;0.3469387755102041;47;53
49;0.3828125;0.37404580152671757;78;101
3;0.15789473684210525;0.03225806451612903;7;17
17;0.34;0.15178571428571427;19;50
17;0.37777777777777777;0.1574074074074074;18;46
8;0.13793103448275862;0.06153846153846154;9;59
13;0.12745098039215685;0.08125;23;94
15;0.28846153846153844;0.13157894736842105;19;50
0;0.0;0;2;8
29;0.4393939393939394;0.29;47;50
29;0.3411764705882353;0.24786324786324787;49;67
39;0.3786407766990291;0.291044776119403;50;94
29;0.3333333333333333;0.2457627118644068;50;68
20;0.36363636363636365;0.19801980198019803;35;42
16;0.24242424242424243;0.128;22;62
6;0.06;0.034482758620689655;7;101
2;0.2222222222222222;0.023529411764705882;5;8
34;0.6666666666666666;0.37777777777777777;42;45
51;0.5666666666666667;0.4434782608695652;56;87
8;0.12121212121212122;0.057971014492753624;9;67
12;0.11764705882352941;0.07142857142857142;15;101
39;0.40625;0.3305084745762712;59;78
26;0.3023255813953488;0.18571428571428572;27;87
13;0.35135135135135137;0.13131313131313133;19;33
15;0.14705882352941177;0.09090909090909091;18;101
1;0.25;0.012048192771084338;2;5
40;0.45977011494252873;0.31746031746031744;42;87
7;0.07777777777777778;0.04929577464788732;29;70
5;0.056818181818181816;0.031055900621118012;8;87
8;0.08602150537634409;0.048484848484848485;9;94
6;0.2857142857142857;0.06315789473684211;7;22
15;0.2112676056338028;0.11194029850746269;18;70
32;0.5079365079365079;0.32989690721649484;47;50
41;0.3904761904761905;0.2949640287769784;47;101
2;0.4;0.024096385542168676;3;6
4;0.0425531914893617;0.023668639053254437;6;94
26;0.2988505747126437;0.18571428571428572;28;87
30;0.30303030303030304;0.22388059701492538;46;85
16;0.19047619047619047;0.10810810810810811;17;85
1;0.043478260869565216;0.00980392156862745;2;24
16;0.23529411764705882;0.12307692307692308;19;67
29;0.5471698113207547;0.29292929292929293;35;49
4;0.04;0.022727272727272728;5;101
28;0.345679012345679;0.24778761061946902;49;62
6;0.09090909090909091;0.04285714285714286;7;67
0;0.0;0;1;59
27;0.27;0.17647058823529413;28;101
29;0.32222222222222224;0.2116788321167883;34;87
1;0.25;0.012195121951219513;3;4
16;0.16326530612244897;0.10191082802547771;22;94
3;0.23076923076923078;0.03333333333333333;4;14
2;0.07142857142857142;0.018867924528301886;3;29
0;0.0;0;1;78
16;0.1839080459770115;0.11347517730496454;27;78
29;0.3972602739726027;0.2636363636363636;44;60
27;0.391304347826087;0.22131147540983606;28;70
38;0.42696629213483145;0.34234234234234234;59;70
30;0.24390243902439024;0.22058823529411764;68;87
41;0.2887323943661972;0.23163841807909605;46;139
24;0.42105263157894735;0.21621621621621623;27;56
45;0.5;0.371900826446281;50;87
16;0.35555555555555557;0.1523809523809524;21;42
13;0.2708333333333333;0.11304347826086956;14;49
16;0.5;0.17391304347826086;21;29
49;0.3402777777777778;0.28994082840236685;56;139
6;0.2608695652173913;0.06593406593406594;13;18
0;0.0;0;1;118
41;0.5942028985507246;0.43617021276595747;56;56
3;0.03;0.01694915254237288;4;101
2;0.03508771929824561;0.014925373134328358;4;57
2;0.08695652173913043;0.019801980198019802;3;24
36;0.26277372262773724;0.2236024844720497;57;118
4;0.04;0.022727272727272728;5;101
15;0.2542372881355932;0.12195121951219512;17;59
11;0.22;0.09322033898305085;13;50
15;0.2542372881355932;0.12195121951219512;17;59
12;0.09917355371900827;0.06486486486486487;17;118
35;0.330188679245283;0.2536231884057971;49;94
18;0.4864864864864865;0.2;28;29
33;0.44594594594594594;0.3055555555555556;47;62
6;0.12244897959183673;0.049586776859504134;9;48
44;0.55;0.41904761904761906;56;70
4;0.17391304347826086;0.04395604395604396;13;16
32;0.5714285714285714;0.3106796116504854;34;56
42;0.3157894736842105;0.2709677419354839;59;118
2;0.028985507246376812;0.013793103448275862;5;68
19;0.1623931623931624;0.10674157303370786;20;118
16;0.32;0.1415929203539823;18;50
35;0.3465346534653465;0.30701754385964913;68;70
24;0.3380281690140845;0.192;27;70
28;0.4666666666666667;0.2616822429906542;34;56
45;0.32142857142857145;0.26011560693641617;48;139
13;0.1326530612244898;0.08125;19;94
55;0.5612244897959183;0.4661016949152542;61;94
1;0.010752688172043012;0.005813953488372093;2;94
11;0.3548387096774194;0.11578947368421053;17;27
22;0.2894736842105263;0.1896551724137931;41;59
23;0.14838709677419354;0.11794871794871795;41;139
16;0.16326530612244897;0.10191082802547771;22;94
2;0.08695652173913043;0.02;4;23
5;0.07142857142857142;0.034722222222222224;7;70
13;0.22033898305084745;0.10655737704918032;18;56
9;0.2;0.07894736842105263;12;44
10;0.1;0.06134969325153374;18;94
8;0.05063291139240506;0.0380952380952381;29;139
22;0.21153846153846154;0.13924050632911392;27;101
1;0.011627906976744186;0.006060606060606061;2;87
20;0.3508771929824561;0.1724137931034483;22;57
24;0.5581395348837209;0.24742268041237114;27;42
7;0.10144927536231885;0.04929577464788732;8;70
41;0.328;0.26282051282051283;50;118
10;0.15625;0.078125;17;59
8;0.13559322033898305;0.06153846153846154;10;59
16;0.13559322033898305;0.08839779005524862;18;118
5;0.7142857142857143;0.06172839506172839;7;7
24;0.38095238095238093;0.20689655172413793;28;61
31;0.5081967213114754;0.3069306930693069;41;53
6;0.05128205128205128;0.031413612565445025;7;118
5;0.05952380952380952;0.031446540880503145;6;85
41;0.4019607843137255;0.2949640287769784;44;101
37;0.3894736842105263;0.30833333333333335;56;78
20;0.29850746268656714;0.15873015873015872;22;67
32;0.31683168316831684;0.24242424242424243;50;85
1;0.3333333333333333;0.012345679012345678;3;3
11;0.1774193548387097;0.08461538461538462;13;62
12;0.09375;0.06486486486486487;24;118
0;0.0;0;1;14
56;0.6436781609195402;0.5185185185185185;60;85
3;0.06521739130434782;0.024390243902439025;4;47
5;0.053763440860215055;0.02976190476190476;6;94
41;0.2808219178082192;0.23163841807909605;50;139
27;0.2872340425531915;0.18493150684931506;29;94
33;0.38823529411764707;0.25190839694656486;35;85
7;0.4666666666666667;0.08045977011494253;9;15
22;0.3283582089552239;0.176;23;68
24;0.3287671232876712;0.192;29;70
2;0.25;0.023529411764705882;4;8
4;0.028985507246376812;0.018691588785046728;5;139
16;0.21621621621621623;0.13114754098360656;33;59
18;0.18;0.1111111111111111;19;101
5;0.19230769230769232;0.04950495049504951;6;27
13;0.203125;0.10236220472440945;18;61
17;0.34;0.15178571428571427;19;50
18;0.2727272727272727;0.140625;19;67
1;0.014925373134328358;0.00684931506849315;2;68
2;0.017094017094017096;0.010256410256410256;3;118
69;0.45098039215686275;0.46308724832214765;85;139
7;0.12280701754385964;0.0546875;10;56
6;0.13043478260869565;0.05042016806722689;8;46
25;0.7352941176470589;0.2840909090909091;27;34
7;0.875;0.08641975308641975;8;9
32;0.36363636363636365;0.256;44;78
22;0.275;0.19298245614035087;47;57
10;0.11764705882352941;0.06802721088435375;19;78
13;0.09219858156028368;0.06341463414634146;17;139
3;0.04918032786885246;0.021739130434782608;4;62
18;0.1782178217821782;0.1111111111111111;20;101
21;0.3888888888888889;0.21212121212121213;36;41
24;0.42105263157894735;0.22857142857142856;33;50
3;0.031914893617021274;0.01764705882352941;5;94
3;0.03529411764705882;0.018633540372670808;5;85
1;0.010752688172043012;0.005813953488372093;2;94
30;0.4918032786885246;0.30927835051546393;45;48
19;0.3114754098360656;0.15966386554621848;23;59
17;0.20987654320987653;0.12142857142857143;22;78
41;0.5540540540540541;0.3904761904761905;50;67
42;0.42424242424242425;0.32061068702290074;49;94
19;0.22093023255813954;0.1292517006802721;20;87
17;0.12318840579710146;0.0845771144278607;18;139
8;0.06837606837606838;0.042328042328042326;9;118
21;0.29577464788732394;0.1794871794871795;35;59
0;0.0;0;1;68
0;0.0;0;1;50
21;0.21649484536082475;0.17647058823529413;59;61
46;0.42592592592592593;0.36220472440944884;62;94
6;0.6;0.07228915662650602;8;10
34;0.3695652173913043;0.2764227642276423;50;78
7;0.14285714285714285;0.05737704918032787;8;50
29;0.5;0.27358490566037735;33;56
6;0.35294117647058826;0.06666666666666667;8;17
2;0.4;0.024096385542168676;3;6
27;0.48214285714285715;0.25;29;56
18;0.13043478260869565;0.09;19;139
5;0.056818181818181816;0.031446540880503145;10;85
6;0.09836065573770492;0.04477611940298507;8;61
39;0.3277310924369748;0.2765957446808511;59;101
22;0.3333333333333333;0.18487394957983194;28;62
17;0.30357142857142855;0.14782608695652175;22;53
28;0.4307692307692308;0.2828282828282828;47;48
2;0.6666666666666666;0.024691358024691357;3;4
8;0.16326530612244897;0.06611570247933884;9;50
18;0.18;0.1111111111111111;19;101
17;0.265625;0.13934426229508196;23;60
0;0.0;0;4;24
23;0.3770491803278688;0.19827586206896552;26;60
27;0.5869565217391305;0.2755102040816326;29;46
7;0.08139534883720931;0.0440251572327044;8;87
5;0.2777777777777778;0.053763440860215055;6;19
39;0.5064935064935064;0.38235294117647056;56;62
2;0.2222222222222222;0.023255813953488372;4;9
16;0.22857142857142856;0.13114754098360656;29;59
26;0.41935483870967744;0.22807017543859648;29;61
5;0.058823529411764705;0.031446540880503145;7;85
2;0.2222222222222222;0.023255813953488372;4;9
18;0.2571428571428571;0.13740458015267176;20;70
1;0.03571428571428571;0.009345794392523364;2;29
29;0.47540983606557374;0.29;42;50
5;0.7142857142857143;0.06097560975609756;6;8
16;0.38095238095238093;0.16494845360824742;26;34
20;0.4;0.1834862385321101;22;50
31;0.28440366972477066;0.21830985915492956;48;94
34;0.6071428571428571;0.3695652173913043;45;47
2;0.06060606060606061;0.018018018018018018;3;34
24;0.3870967741935484;0.20689655172413793;27;61
1;0.014925373134328358;0.00684931506849315;2;68
12;0.1276595744680851;0.07453416149068323;14;94
5;0.036231884057971016;0.023474178403755867;6;139
8;0.08247422680412371;0.053691275167785234;29;78
7;0.20588235294117646;0.0660377358490566;9;34
18;0.2903225806451613;0.16822429906542055;36;46
60;0.5882352941176471;0.5309734513274337;70;94
16;0.16;0.0975609756097561;17;101
21;0.31343283582089554;0.16666666666666666;22;68
16;0.11428571428571428;0.07920792079207921;19;139
13;0.21666666666666667;0.10655737704918032;19;56
3;0.06666666666666667;0.02459016393442623;4;46
8;0.09195402298850575;0.05063291139240506;10;87
17;0.2786885245901639;0.13821138211382114;19;61
33;0.38823529411764707;0.2661290322580645;42;78
9;0.09;0.05263157894736842;10;101
43;0.34959349593495936;0.2792207792207792;50;118
16;0.24615384615384617;0.128;21;62
38;0.36538461538461536;0.2814814814814815;50;94
14;0.4666666666666667;0.15217391304347827;19;27
21;0.23595505617977527;0.14685314685314685;27;85
67;0.4527027027027027;0.44370860927152317;78;139
22;0.36666666666666664;0.205607476635514;34;50
37;0.5068493150684932;0.33035714285714285;42;70
1;1.0;0.0125;2;2
38;0.5428571428571428;0.36893203883495146;48;62
12;0.19047619047619047;0.09302325581395349;15;62
0;0.0;0;1;94
4;0.14285714285714285;0.038461538461538464;5;29
29;0.4264705882352941;0.29;49;50
35;0.3333333333333333;0.2413793103448276;41;101
8;0.06779661016949153;0.042328042328042326;10;118
5;0.05319148936170213;0.02976190476190476;7;94
8;0.14035087719298245;0.0625;10;57
17;0.22077922077922077;0.12878787878787878;26;70
16;0.3018867924528302;0.13793103448275862;18;53
18;0.36;0.16216216216216217;20;50
1;0.010752688172043012;0.005813953488372093;2;94
14;0.10144927536231885;0.06862745098039216;15;139
18;0.32727272727272727;0.15384615384615385;19;56
2;0.05128205128205128;0.018867924528301886;14;29
7;0.17073170731707318;0.061946902654867256;9;41
47;0.46534653465346537;0.373015873015873;56;94
25;0.5681818181818182;0.2604166666666667;29;42
2;0.08;0.019417475728155338;3;26
21;0.4772727272727273;0.21212121212121213;26;41
5;0.05555555555555555;0.031055900621118012;10;87
1;0.5;0.012345679012345678;2;3
5;0.125;0.043478260869565216;6;41
11;0.11702127659574468;0.06790123456790123;13;94
15;0.20270270270270271;0.11363636363636363;23;68
5;0.036231884057971016;0.023474178403755867;6;139
2;0.07142857142857142;0.018867924528301886;3;29
14;0.6666666666666666;0.16470588235294117;17;20
33;0.3626373626373626;0.2920353982300885;59;67
3;0.375;0.03529411764705882;4;9
0;0.0;0;1;139
30;0.23809523809523808;0.2;57;101
1;0.5;0.012345679012345678;2;3
0;0.0;0;1;118
6;0.05825242718446602;0.034482758620689655;10;101
0;0.0;0;1;101
2;0.07142857142857142;0.018867924528301886;3;29
12;0.3870967741935484;0.1276595744680851;18;27
35;0.603448275862069;0.3723404255319149;45;50
7;0.08139534883720931;0.0440251572327044;8;87
45;0.6428571428571429;0.44554455445544555;50;67
2;0.5;0.024691358024691357;4;4
8;0.057971014492753624;0.0380952380952381;9;139
17;0.2698412698412698;0.14782608695652175;29;53
3;0.1;0.02857142857142857;6;29
48;0.5714285714285714;0.41379310344827586;49;85
7;0.14893617021276595;0.058823529411764705;9;47
25;0.32894736842105265;0.22123893805309736;44;59
50;0.36764705882352944;0.3401360544217687;70;118
22;0.34375;0.2;35;53
19;0.2261904761904762;0.15966386554621848;46;59
3;0.03225806451612903;0.01764705882352941;4;94
0;0.0;0;1;14
39;0.41935483870967744;0.3305084745762712;56;78
17;0.5666666666666667;0.19318181818181818;23;26
4;0.2222222222222222;0.043010752688172046;6;18
17;0.12318840579710146;0.0845771144278607;18;139
16;0.11510791366906475;0.07920792079207921;18;139
3;0.25;0.034482758620689655;6;11
1;0.2;0.011904761904761904;2;6
13;0.28888888888888886;0.11711711711711711;15;45
15;0.40540540540540543;0.16304347826086957;26;28
9;0.18;0.075;11;50
34;0.5483870967741935;0.3333333333333333;41;57
11;0.25;0.1;15;42
28;0.42424242424242425;0.23728813559322035;29;67
3;0.075;0.02564102564102564;4;41
2;0.014492753623188406;0.009259259259259259;3;139
11;0.18032786885245902;0.08661417322834646;15;59
4;0.21052631578947367;0.043010752688172046;7;18
3;0.02564102564102564;0.015463917525773196;4;118
13;0.16666666666666666;0.09027777777777778;15;78
4;0.14814814814814814;0.039603960396039604;7;26
44;0.4489795918367347;0.34108527131782945;50;94
53;0.5196078431372549;0.41732283464566927;56;101
14;0.15053763440860216;0.0880503144654088;15;94
